Symbol,Price Currency
ACI,USD
AGCO,USD
ALL,USD
ALV,USD
AMAT,USD
AMZN,USD
ANET,USD
APH,USD
ARMK,USD
AS,USD
ASH,USD
ASND,USD
AVGO,USD
AZO,USD
BA,USD
BBIO,USD
BBY,USD
BKR,USD
BLK,USD
BNL,USD
BRBR,USD
BSX,USD
CACI,USD
CASY,USD
CAT,USD
CCA,CAD
CG,CAD
CHRW,USD
CNQ,CAD
CNR,CAD
CP,USD
CPA,USD
CPX,CAD
CRS,USD
CSL,USD
CTC.A,CAD
CVE,USD
CVNA,USD
CVS,USD
CYBR,USD
DAL,USD
DD,USD
DHR,USD
DIR.U,CAD
DLR,USD
DYN,USD
EIF,CAD
ENGH,CAD
EPR,USD
EQB,CAD
EQT,USD
ET,USD
EWTX,USD
EXPE,USD
FCX,USD
FRU,CAD
FTI,USD
FWONK,USD
GM,USD
GRT.U,CAD
GSY,CAD
GWRE,USD
HD,USD
HQY,USD
IAG,CAD
IGM,CAD
ILMN,USD
IMO,CAD
INSM,USD
ISRG,USD
JLL,USD
KEX,USD
KEY,CAD
KLAC,USD
KR,USD
KVUE,USD
LEGN,USD
LEU,USD
LLY,USD
LNG,USD
LNR,CAD
LSPD,CAD
LYV,USD
LZ,USD
MBLY,USD
MCD,USD
MET,USD
MG,CAD
MGNI,USD
MIRM,USD
MNDY,USD
MRVL,USD
MSCI,USD
MSFT,USD
MTSI,USD
NA,CAD
NBIX,USD
NLY,USD
NPI,CAD
NTRA,USD
NVDA,USD
NVMI,USD
OLLI,USD
ONTO,USD
ORIC,USD
OTEX,CAD
PBH,CAD
PCVX,USD
PEY,CAD
PHM,USD
PINS,USD
PODD,USD
POU,CAD
PPL,CAD
PSK,CAD
PTCT,USD
RARE,USD
RCI.B,CAD
RCL,USD
REG,USD
REI.U,CAD
RGA,USD
RHP,USD
ROIV,USD
SAP,CAD
SCHW,USD
SIRI,USD
SNCY,USD
SPGI,USD
SRRK,USD
SSRM,CAD
SU,CAD
T,CAD
TJX,USD
TMO,USD
TMUS,USD
TOU,CAD
TPR,USD
TPZ,CAD
TRP,CAD
TRU,USD
TTWO,USD
TVTX,USD
TXN,USD
TYL,USD
UAL,USD
ULTA,USD
UNM,USD
VST,USD
WCP,CAD
WMT,USD
XENE,USD
XOM,USD
